gvkey,lpermno,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,CURCD,ACT,AT,CHE,CSHO,DLC,DP,DVP,IB,LCT,LT,PSTKL,PSTKRV,TXDI,TXDITC,UPSTK,COSTAT,SICH,adjex_f,SIC
001440,24109,19911231,1991,INDL,C,D,STD,025537101,USD,1487.0980,14125.2970,122.2360,184.5350,712.9170,507.5950,53.5160,551.4510,1632.9720,9230.4960,675.6400,672.5500,-8.5790,1842.7790,0.0000,A,4911,1.0000,4911
001440,24109,19921231,1992,INDL,C,D,STD,025537101,USD,1561.0660,14276.7970,145.2120,184.5350,509.4510,509.5540,59.3480,527.6510,1450.4130,9265.3540,768.4870,765.4000,76.7260,1678.4950,0.0000,A,4911,1.0000,4911
001440,24109,19931231,1993,INDL,C,D,STD,025537101,USD,1297.0030,15341.3980,42.5610,184.5350,372.3320,530.7310,58.8180,412.5870,1470.8240,10420.3810,768.7770,768.6900,-83.4190,2955.5160,0.0000,A,4911,1.0000,4911
001440,24109,19941231,1994,INDL,C,D,STD,025537101,USD,1281.4380,15712.6990,62.8660,185.2350,703.9080,572.1890,54.6950,554.7070,1834.6520,10659.5280,823.6250,823.5400,-42.3530,2929.5820,0.0000,A,4911,1.0000,4911
001440,24109,19951231,1995,INDL,C,D,STD,025537101,USD,1401.8580,15902.2970,79.9550,186.6350,591.7640,593.0190,54.7710,584.6740,1625.0620,10899.1770,670.9750,663.3250,-14.0190,3086.6920,0.0000,A,4911,1.0000,4911
001440,24109,19961231,1996,INDL,C,D,STD,025537101,USD,1354.8810,15885.5000,57.5390,188.2350,496.1900,600.8510,41.4260,628.8560,1496.0370,10739.9940,600.2230,600.2230,-47.4040,3047.1930,0.0000,A,4911,1.0000,4911
001440,24109,19971231,1997,INDL,C,D,STD,025537101,USD,1518.1360,16615.3000,91.4810,189.9900,950.6180,591.0710,17.8310,638.2110,2083.6930,11763.7830,174.3290,174.3290,-31.9080,2937.1710,0.0000,A,4911,1.0000,4911
001440,24109,19981231,1998,INDL,C,D,STD,025537101,USD,2217.6690,19483.2020,172.9850,191.8160,904.7410,579.9970,10.9260,547.1090,2801.6370,14467.8150,173.6070,173.6070,15.9850,2952.3480,0.0000,A,4911,1.0000,4911
001440,24109,19991231,1999,INDL,C,D,STD,025537101,USD,3216.0000,21488.0000,333.0000,194.1030,2090.0000,600.0000,11.0000,531.0000,4670.0000,16318.0000,164.0000,164.0000,118.0000,3071.0000,0.0000,A,4911,1.0000,4911
001440,24109,20001231,2000,INDL,C,D,STD,025537101,USD,22031.0000,54548.0000,437.0000,322.0190,5680.0000,1062.0000,103.0000,405.0000,27067.0000,46333.0000,161.0000,161.0000,-225.0000,5403.0000,0.0000,A,4911,1.0000,4911
